Date,Price_GRAE,Vol_GRAE,MACD_GRAE,RSI_GRAE,CCI_GRAE,ADX_GRAE,Price_SQPH,Vol_SQPH,MACD_SQPH,RSI_SQPH,CCI_SQPH,ADX_SQPH,Price_ACIF,Vol_ACIF,MACD_ACIF,RSI_ACIF,CCI_ACIF,ADX_ACIF
2014-06-24,300.9,519799.99999999994,9.499280621569028,61.44974319293875,52.7962638645651,22.89,158.03,885210.0,0.6944667906446682,51.67056352856992,-30.59957371884005,19.17,83.24,84310.0,0.02826073475695523,59.15109324483362,219.9715824604294,48.26
2014-06-25,301.4,818000.0,9.085160201813608,61.77951374210789,37.011053256599446,23.1,158.89,1200000.0,0.7032822055989527,53.78178772747077,9.258868391799757,18.28,82.86,22570.0,0.23673934899241544,57.829474531864655,180.97664329314426,48.12
2014-06-26,297.1,550400.0,8.314152349277947,57.24427856034217,-4.988924203024,23.29,157.86,635250.0,0.6200090155420526,50.91314785769202,-37.68258094046896,17.45,81.33,11020.0,0.27532812824819075,52.72176853356178,87.71977177474348,47.98
2014-06-29,294.7,655600.0,7.423885201573114,54.82513038594013,-61.046972269383026,23.47,158.2,679740.0,0.5748233650354564,51.826576617766854,-44.12372642631273,16.86,81.62,18900.0,0.32555776295573935,53.55904528941641,105.21926612968797,48.35
2014-06-30,300.3,432000.0,7.0885034168861125,59.16181901948702,-27.156632786032585,22.94,161.12,1020000.0,0.7658052814187783,58.90014292022724,46.90104984130508,16.44,82.38,59530.0,0.4218281860120072,55.769734231067694,67.42007147686675,48.69
2014-07-02,296.1,626200.0,6.409916509602738,54.90469079956632,-62.6604068857589,22.05,159.92,528880.0,0.8109813665462298,55.30607068894018,67.91770920211079,15.42,81.62,4730.0,0.4318197916998372,53.05017808646448,43.674829734820776,49.01
2014-07-03,294.9,342800.0,5.7094861234450605,53.71539301752765,-117.73778920308442,21.23,159.75,376880.0,0.8235725287794367,54.79595193847813,34.0340772738208,14.48,81.24,6820.0,0.4044135592136655,51.6928506605225,20.788121073672574,49.31
2014-07-06,291.9,262200.0,4.856334269635568,50.755416621326596,-148.9779231398202,20.46,159.63,293520.0,0.8144793079789281,54.4144212246946,40.83530753706917,13.78,80.76,6190.0,0.34004213992434984,49.95420084779749,-14.014447884416482,49.59
2014-07-07,293.3,221000.0,4.244248523549629,52.082431305660684,-134.4187375035704,19.79,159.06,379590.0,0.7526030887422905,52.54298902798251,13.222435487309191,13.13,80.57,2620.0,0.27057687250479034,49.24809770847855,-14.978726047391792,50.19
2014-07-08,297.9,539000.0,4.083278226490336,56.2537429780293,-45.853143159006194,18.63,158.32,533990.0,0.6365165569900455,50.13241614789655,-7.106373528755913,12.5,80.67,17640.0,0.2210462285435426,49.651477317978056,-16.627936999742154,49.56
