"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 16, 2022","174.10","172.60","174.50","170.00","95.39K","2.47%"
"Feb 15, 2022","169.90","168.10","172.80","168.10","76.65K","0.24%"
"Feb 14, 2022","169.50","170.90","170.90","166.70","45.27K","-0.12%"
"Feb 13, 2022","169.70","169.70","172.00","168.50","44.72K","0.00%"
"Feb 10, 2022","169.70","169.10","170.20","168.00","48.13K","1.07%"
"Feb 09, 2022","167.90","171.60","172.30","167.30","46.26K","-1.35%"
"Feb 08, 2022","170.20","173.90","173.90","169.10","70.79K","-0.41%"
"Feb 07, 2022","170.90","174.00","176.80","170.50","135.05K","-1.04%"
"Feb 06, 2022","172.70","171.90","174.80","170.00","81.43K","1.23%"
"Feb 03, 2022","170.60","173.70","173.80","168.60","70.60K","-0.41%"
"Feb 02, 2022","171.30","179.00","179.00","170.00","142.16K","-3.17%"
"Feb 01, 2022","176.90","179.90","180.50","175.00","187.68K","-0.17%"
"Jan 31, 2022","177.20","182.40","182.40","173.10","413.73K","4.24%"
"Jan 30, 2022","170.00","168.80","171.70","167.00","86.25K","0.71%"
"Jan 27, 2022","168.80","173.70","174.30","166.00","132.94K","-1.69%"
"Jan 26, 2022","171.70","174.50","175.00","167.50","62.49K","-0.17%"
"Jan 25, 2022","172.00","173.10","177.00","167.00","139.77K","-1.21%"
"Jan 24, 2022","174.10","178.80","178.80","172.00","102.46K","-1.86%"
"Jan 23, 2022","177.40","178.60","182.00","174.10","310.66K","-0.78%"
"Jan 20, 2022","178.80","175.00","180.00","173.00","380.92K","2.17%"
"Jan 19, 2022","175.00","167.00","181.90","167.00","489.27K","4.98%"
"Jan 18, 2022","166.70","159.90","170.00","158.90","103.71K","6.04%"
"Jan 17, 2022","157.20","160.00","160.00","156.30","26.33K","-1.32%"
"Jan 16, 2022","159.30","156.00","159.70","156.00","29.27K","2.64%"
"Jan 13, 2022","155.20","156.50","159.30","154.00","23.02K","-0.64%"
"Jan 12, 2022","156.20","158.00","159.50","153.00","32.91K","-0.64%"
"Jan 11, 2022","157.20","155.00","159.00","154.00","53.69K","1.48%"
"Jan 10, 2022","154.90","152.50","156.00","150.50","27.17K","2.04%"
"Jan 09, 2022","151.80","152.00","153.00","151.30","20.01K","0.07%"
"Jan 06, 2022","151.70","154.00","154.00","150.10","16.25K","-0.20%"
"Jan 05, 2022","152.00","152.00","154.00","151.10","16.45K","-0.78%"
"Jan 04, 2022","153.20","148.30","154.50","148.00","24.83K","1.39%"
"Jan 03, 2022","151.10","152.50","152.50","149.00","9.69K","1.34%"
"Jan 02, 2022","149.10","151.00","151.00","148.10","11.40K","1.36%"
"Dec 30, 2021","147.10","148.50","154.90","146.90","33.28K","-0.94%"
"Dec 29, 2021","148.50","151.10","151.10","148.00","9.63K","-0.93%"
"Dec 28, 2021","149.90","151.60","152.00","149.00","10.67K","-0.46%"
"Dec 27, 2021","150.60","150.00","151.90","150.00","6.47K","0.87%"
"Dec 26, 2021","149.30","151.00","151.00","148.50","11.73K","-0.99%"
"Dec 23, 2021","150.80","152.00","155.00","150.10","11.76K","-1.37%"
"Dec 22, 2021","152.90","156.60","156.60","152.00","20.38K","0.13%"
"Dec 21, 2021","152.70","152.90","157.70","150.20","11.90K","0.20%"
"Dec 20, 2021","152.40","154.00","154.00","151.00","7.80K","-0.52%"
"Dec 19, 2021","153.20","156.00","156.00","153.00","10.17K","-1.54%"
"Dec 15, 2021","155.60","155.00","157.00","155.00","7.54K","0.58%"
"Dec 14, 2021","154.70","159.40","159.40","154.00","16.28K","-0.32%"
"Dec 13, 2021","155.20","158.50","158.50","155.00","6.64K","-1.46%"
"Dec 12, 2021","157.50","159.00","160.50","157.00","17.76K","-0.25%"
"Dec 09, 2021","157.90","159.90","159.90","157.20","7.90K","-0.57%"
"Dec 08, 2021","158.80","157.70","161.50","157.60","73.56K","1.34%"
"Dec 07, 2021","156.70","158.90","158.90","156.10","14.96K","-0.89%"
"Dec 06, 2021","158.10","158.50","159.80","156.00","25.71K","0.44%"
"Dec 05, 2021","157.40","158.50","158.50","155.30","49.32K","0.06%"
"Dec 02, 2021","157.30","149.00","158.10","149.00","23.89K","2.34%"
"Dec 01, 2021","153.70","152.10","155.00","151.00","26.47K","3.50%"
"Nov 30, 2021","148.50","154.50","155.50","146.30","14.14K","-3.51%"
"Nov 29, 2021","153.90","153.60","155.00","151.00","16.97K","1.92%"
"Nov 28, 2021","151.00","152.50","153.90","150.10","6.43K","-0.92%"
"Nov 25, 2021","152.40","156.00","156.00","152.00","8.39K","-0.78%"
"Nov 24, 2021","153.60","157.50","157.50","150.00","20.32K","-1.79%"
"Nov 23, 2021","156.40","154.50","157.50","153.00","27.39K","1.56%"
"Nov 22, 2021","154.00","154.40","154.60","147.90","34.65K","2.26%"
"Nov 21, 2021","150.60","157.40","157.40","150.00","27.89K","-2.81%"
"Nov 17, 2021","154.95","155.71","156.86","152.57","39.70K","-0.06%"
"Nov 16, 2021","155.05","156.19","158.95","153.43","21.40K","-0.61%"
"Nov 15, 2021","156.00","152.38","156.67","151.71","42.16K","2.89%"
"Nov 14, 2021","151.62","152.29","152.95","150.29","42.94K","1.92%"
"Nov 11, 2021","148.76","155.14","155.14","147.71","20.21K","-2.01%"
"Nov 10, 2021","151.81","149.33","152.29","148.48","32.35K","4.18%"
"Nov 09, 2021","145.71","145.62","147.43","145.33","8.53K","0.07%"
"Nov 08, 2021","145.62","146.57","146.67","144.10","13.55K","-0.13%"
"Nov 07, 2021","145.81","148.76","152.38","144.19","12.59K","-1.80%"
"Nov 04, 2021","148.48","153.90","153.90","146.76","80.79K","-2.99%"
"Nov 03, 2021","153.05","156.10","156.10","152.38","12.72K","-1.35%"
"Nov 02, 2021","155.14","154.76","158.95","152.38","42.73K","0.43%"
"Nov 01, 2021","154.48","156.67","156.67","153.81","34.95K","-0.92%"
"Oct 31, 2021","155.90","161.81","163.81","155.24","72.66K","2.44%"
"Oct 28, 2021","152.19","155.43","155.43","151.14","34.26K","-1.60%"
"Oct 27, 2021","154.67","153.33","156.48","153.33","34.00K","1.75%"
"Oct 26, 2021","152.00","151.62","155.71","150.57","29.25K","0.31%"
"Oct 25, 2021","151.52","153.33","153.81","148.95","47.53K","-0.75%"
"Oct 24, 2021","152.67","155.71","157.14","152.48","22.97K","-1.60%"
"Oct 21, 2021","155.14","155.52","157.05","153.81","34.27K","-0.18%"
"Oct 19, 2021","155.43","158.10","159.52","153.43","43.03K","-0.79%"
"Oct 18, 2021","156.67","153.81","159.05","153.81","66.75K","-0.06%"
"Oct 17, 2021","156.76","163.71","163.71","154.76","68.84K","-3.57%"
"Oct 14, 2021","162.57","159.90","163.81","159.90","50.28K","1.67%"
"Oct 13, 2021","159.90","170.48","170.48","158.95","121.26K","-5.46%"
"Oct 12, 2021","169.14","172.19","175.14","167.62","210.57K","-1.72%"
"Oct 11, 2021","172.10","162.86","173.81","162.86","410.06K","6.17%"
"Oct 10, 2021","162.10","152.86","162.86","152.86","84.91K","2.22%"
"Oct 07, 2021","158.57","161.90","163.71","158.10","67.06K","-1.25%"
"Oct 06, 2021","160.57","159.90","161.90","156.38","68.08K","2.18%"
"Oct 05, 2021","157.14","160.10","162.19","155.71","94.66K","-1.79%"
"Oct 04, 2021","160.00","166.10","166.10","158.57","126.51K","-3.72%"
"Oct 03, 2021","166.19","166.29","166.67","163.24","98.50K","2.11%"
"Sep 30, 2021","162.76","163.81","167.62","161.71","133.99K","0.71%"
"Sep 29, 2021","161.62","157.81","162.57","157.33","27.92K","2.41%"
"Sep 28, 2021","157.81","159.33","160.00","157.24","101.72K","-1.49%"
"Sep 27, 2021","160.19","161.52","164.76","158.10","68.11K","-0.83%"
"Sep 26, 2021","161.52","166.38","166.38","160.48","87.55K","-1.80%"
"Sep 23, 2021","164.48","166.57","166.57","163.90","48.31K","0.52%"
"Sep 22, 2021","163.62","166.57","166.67","163.33","52.71K","-0.12%"
"Sep 21, 2021","163.81","162.48","165.62","162.38","32.72K","0.35%"
"Sep 20, 2021","163.24","164.29","168.48","162.86","49.09K","-0.70%"
"Sep 19, 2021","164.38","172.10","174.29","163.33","122.04K","-3.52%"
"Sep 16, 2021","170.38","172.38","176.00","168.57","219.20K","-0.33%"
